,OLMAR
368,1.1908892560523032
369,1.1789896417450099
370,1.1615661912244888
371,1.161331411482265
372,1.1685259415425917
373,1.1619580286578401
374,1.1535585975923621
375,1.1513082571417148
376,1.1276064011051945
377,1.1194008943731022
378,1.111662702036482
379,1.0997951141143152
380,1.110763896117917
381,1.1028137746596576
382,1.1008673222806873
383,1.0932623984195509
384,1.0887563661232098
385,1.0839795531669774
386,1.0605789013461213
387,1.0623136839824145
388,1.052431937331565
389,1.0463408616077068
390,1.0589384434937668
391,1.0633331728509594
392,1.0621878812335108
393,1.068389864238876
394,1.06411011330347
395,1.051357754100961
396,1.0472192291880975
397,1.0525605233583486
398,1.0505901449737136
399,1.0484622722147219
400,1.0478197480903346
401,1.0486888782568726
402,1.0625892618626094
403,1.0608406645287312
404,1.0349381951030543
405,1.0382605082728877
406,1.048101660020375
407,1.0487731735327537
408,1.0373339967509745
409,1.0312918597712202
410,1.0249057844537315
411,1.0210494524737792
412,1.0187942669685481
413,1.0280260999035242
414,1.0400614223360303
415,1.0350298047561095
416,1.0286279728191652
417,1.038449767720952
418,1.038359828128939
419,1.0443919946556797
420,1.0500355967037973
421,1.0473745989736856
422,1.037751193238155
423,1.0486264397594423
424,1.0453412526734198
425,1.046341922530196
426,1.0541004116566561
427,1.0546145972313095
428,1.042043423030701
429,1.038055722735618
430,1.040632569665684
431,1.0534586489100497
432,1.0664696739106856
433,1.0707040579190579
434,1.0710622075612946
435,1.056363305995772
436,1.0427148712282162
437,1.0666024549331705
438,1.063760799333724
439,1.0628363412231578
440,1.0621338717068818
441,1.0687327196588605
442,1.0658788459374695
443,1.058770440586682
444,1.0628605661510069
445,1.09320335053305
446,1.0967725079316542
447,1.102499771784759
448,1.1022978822799228
449,1.1046297771781284
450,1.1089338037953063
451,1.117154566341939
452,1.118696688613543
453,1.123967646211927
454,1.122844094708812
455,1.1466136583136077
456,1.1728928218318704
457,1.1668437927622106
458,1.1459608964975885
459,1.1693916650691973
460,1.1541704098827215
461,1.148061926125145
462,1.1596601937640951
463,1.143378228157766
464,1.1644999891014494
465,1.1624140182990086
466,1.15639995140715
467,1.1496264154869908
468,1.1614743369270046
469,1.170572958603461
470,1.1542294845723204
471,1.154235178605839
472,1.1630558464069731
473,1.1373550529894356
474,1.1424915261133064
475,1.1545010233262412
476,1.152343836272955
477,1.1588077656101083
478,1.1601835165020575
479,1.1571432741691356
480,1.1666743949325853
481,1.1617138714725967
482,1.1497923265605998
483,1.1494923587083734
484,1.1368363715529055
485,1.1480274783152369
486,1.1570369451734206
487,1.1745544351935553
488,1.1684390245605947
489,1.1613182896258887
490,1.138395419950608
491,1.11794296209173
492,1.0867108413911746
493,1.1042341266274014
494,1.1149947315105417
495,1.1182706386280912
496,1.127178256839629
497,1.1391191013936386
498,1.1487657681861416
499,1.1399820071555047
500,1.1428937311772303
501,1.1668615159910718
502,1.1580148376355837
503,1.1798187633049781
504,1.1753582611853353
505,1.1651682847022724
506,1.154184692472093
507,1.1598577182327467
508,1.1576158593257955
509,1.1487755143118166
510,1.1411974947753205
511,1.126503998779801
512,1.1247793895719853
513,1.1126948696028316
514,1.114028346316059
515,1.1008635531575552
516,1.0933424125655467
517,1.0969680128711128
518,1.1002759453695736
519,1.1152012587852214
520,1.1111822051597964
521,1.1231697767859878
522,1.1334397019978044
523,1.1241924471598395
524,1.1186020475757725
525,1.1255021550763689
526,1.1015217566852924
527,1.0671296392630025
528,1.0647344021430905
529,1.046823615765915
530,1.061791096716556
531,1.0491694440218828
