version id,singleStoreSize,singleRestoreTime,restoreTime,parent,parent name,child name
191,374,374,433,199,IRMCR2_20161104_04.csv,IRMCR2_20150411_06.csv
192,15827,15827,15827,-1,
193,621,621,680,199,IRMCR2_20161104_04.csv,IRMCR2_20161111_06.csv
194,2048,2048,2107,199,IRMCR2_20161104_04.csv,IRMCR2_20170510_02.csv
195,3728,3728,3787,199,IRMCR2_20161104_04.csv,IRMCR2_20150515_02.csv
196,1377,1377,1436,199,IRMCR2_20161104_04.csv,IRMCR2_20150506_03.csv
197,2329,2329,2388,199,IRMCR2_20161104_04.csv,IRMCR2_20141115_06.csv
198,408,408,467,199,IRMCR2_20161104_04.csv,IRMCR2_20150422_08.csv
199,59,59,59,-1,
200,3246,3246,3305,199,IRMCR2_20161104_04.csv,IRMCR2_20171121_03.csv
201,3650,3650,3956,207,IRMCR2_20160509_10.csv,IRMCR2_20170501_01.csv
202,850,1348,1654,207,IRMCR2_20160509_10.csv,IRMCR2_20160519_02.csv
203,16555,16555,16555,-1,
204,3073,3073,3379,207,IRMCR2_20160509_10.csv,IRMCR2_20141114_02.csv
205,415,415,721,207,IRMCR2_20160509_10.csv,IRMCR2_20161111_03.csv
206,360,360,666,207,IRMCR2_20160509_10.csv,IRMCR2_20141115_05.csv
207,306,306,306,-1,
208,4107,4107,4413,207,IRMCR2_20160509_10.csv,IRMCR2_20170327_02.csv
209,1730,1730,2036,207,IRMCR2_20160509_10.csv,IRMCR2_20141114_04.csv
210,12467,12467,12467,-1,
211,18502,18502,18502,-1,
212,1198,1198,1461,216,IRMCR2_20141103_03.csv,IRMCR2_20160513_03.csv
213,19745,19745,19745,-1,
214,2854,2854,3117,216,IRMCR2_20141103_03.csv,IRMCR2_20181015_01.csv
215,2236,2236,2499,216,IRMCR2_20141103_03.csv,IRMCR2_20150422_05.csv
216,263,263,263,-1,
217,18517,18517,18517,-1,
218,3231,3231,3494,216,IRMCR2_20141103_03.csv,IRMCR2_20161026_05.csv
219,2156,2156,2419,216,IRMCR2_20141103_03.csv,IRMCR2_20150423_06.csv
220,6502,6502,6502,-1,
221,2957,3258,3297,229,IRMCR2_20150424_05.csv,IRMCR2_20181110_01.csv
222,727,1547,1586,229,IRMCR2_20150424_05.csv,IRMCR2_20150411_03.csv
