version id,singleStoreSize,singleRestoreTime,restoreTime,parent,parent name,child name
858,29,45,1518,850,ILATM2_20191120_011900_smooth_nadir3seg_50pt.csv,ILATM2_20191119_022200_smooth_nadir3seg_50pt.csv
859,30,56,1529,850,ILATM2_20191120_011900_smooth_nadir3seg_50pt.csv,ILATM2_20191117_014400_smooth_nadir3seg_50pt.csv
860,30,37,1566,859,ILATM2_20191117_014400_smooth_nadir3seg_50pt.csv,ILATM2_20191110_004600_smooth_nadir3seg_50pt.csv
861,29,51,1617,860,ILATM2_20191110_004600_smooth_nadir3seg_50pt.csv,ILATM2_20191110_015600_smooth_nadir3seg_50pt.csv
862,31,56,1622,860,ILATM2_20191110_004600_smooth_nadir3seg_50pt.csv,ILATM2_20191114_024100_smooth_nadir3seg_50pt.csv
863,31,71,1637,860,ILATM2_20191110_004600_smooth_nadir3seg_50pt.csv,ILATM2_20191114_025900_smooth_nadir3seg_50pt.csv
864,26,54,1620,860,ILATM2_20191110_004600_smooth_nadir3seg_50pt.csv,ILATM2_20191110_013100_smooth_nadir3seg_50pt.csv
865,29,85,1651,860,ILATM2_20191110_004600_smooth_nadir3seg_50pt.csv,ILATM2_20191120_022600_smooth_nadir3seg_50pt.csv
866,31,40,1606,860,ILATM2_20191110_004600_smooth_nadir3seg_50pt.csv,ILATM2_20191119_030400_smooth_nadir3seg_50pt.csv
867,29,46,1612,860,ILATM2_20191110_004600_smooth_nadir3seg_50pt.csv,ILATM2_20191119_035000_smooth_nadir3seg_50pt.csv
868,30,46,1612,860,ILATM2_20191110_004600_smooth_nadir3seg_50pt.csv,ILATM2_20191120_025000_smooth_nadir3seg_50pt.csv
869,29,36,1602,860,ILATM2_20191110_004600_smooth_nadir3seg_50pt.csv,ILATM2_20191120_023200_smooth_nadir3seg_50pt.csv
870,31,79,1681,869,ILATM2_20191120_023200_smooth_nadir3seg_50pt.csv,ILATM2_20191115_030200_smooth_nadir3seg_50pt.csv
871,18,31,1712,870,ILATM2_20191115_030200_smooth_nadir3seg_50pt.csv,ILATM2_20191110_004100_smooth_nadir3seg_50pt.csv
872,32,35,1716,870,ILATM2_20191115_030200_smooth_nadir3seg_50pt.csv,ILATM2_20191115_032300_smooth_nadir3seg_50pt.csv
873,30,30,1711,870,ILATM2_20191115_030200_smooth_nadir3seg_50pt.csv,ILATM2_20191110_015300_smooth_nadir3seg_50pt.csv
874,30,45,1726,870,ILATM2_20191115_030200_smooth_nadir3seg_50pt.csv,ILATM2_20191120_021100_smooth_nadir3seg_50pt.csv
875,31,81,1762,870,ILATM2_20191115_030200_smooth_nadir3seg_50pt.csv,ILATM2_20191114_023600_smooth_nadir3seg_50pt.csv
876,28,70,1751,870,ILATM2_20191115_030200_smooth_nadir3seg_50pt.csv,ILATM2_20191110_022500_smooth_nadir3seg_50pt.csv
877,30,54,1735,870,ILATM2_20191115_030200_smooth_nadir3seg_50pt.csv,ILATM2_20191120_035400_smooth_nadir3seg_50pt.csv
878,29,77,1758,870,ILATM2_20191115_030200_smooth_nadir3seg_50pt.csv,ILATM2_20191120_012200_smooth_nadir3seg_50pt.csv
879,31,73,1754,870,ILATM2_20191115_030200_smooth_nadir3seg_50pt.csv,ILATM2_20191114_023400_smooth_nadir3seg_50pt.csv
880,30,30,1784,879,ILATM2_20191114_023400_smooth_nadir3seg_50pt.csv,ILATM2_20191117_023000_smooth_nadir3seg_50pt.csv
