,,Mayoral Election,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assembly List,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Constituency Assembly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Winner,,,,Winning Majority,,,,Turnout,,,,% Con,,,,% Lab,,,,% Lib Dem,,,,% Green,,,,% UKIP,,,,% Others,,,,Winner,,,,Winning Majority,,,,Turnout,,,,% Con,,,,% Lab,,,,% Lib Dem,,,,% Green,,,,% UKIP,,,,% Others,,,,Winner,,,,Winning Majority,,,,Turnout,,,,% Con,,,,% Lab,,,,% Lib Dem,,,,% Green,,,,% UKIP,,,,% Others,,,
Codes,Names,2004,2008,2012,2016,2004,2008,2012,2016,2004,2008,2012,2016,2004,2008,2012,2016,2004,2008,2012,2016,2004,2008,2012,2016,2004,2008,2012,2016,2004,2008,2012,2016,2004,2008,2012,2016,2004,2008,2012,2016,2004,2008,2012,2016,2004,2008,2012,2016,2004,2008,2012,2016,2004,2008,2012,2016,2004,2008,2012,2016,2004,2008,2012,2016,2004,2008,2012,2016,2004,2008,2012,2016,2004,2008,2012,2016,2004,2008,2012,2016,2004,2008,2012,2016,2004,2008,2012,2016,2004,2008,2012,2016,2004,2008,2012,2016,2004,2008,2012,2016,2004,2008,2012,2016,2004,2008,2012,2016
E09000009,Ealing,LAB - Livingstone,LAB - Livingstone,LAB - Livingstone,LAB - Khan,12308,2129,4926,18298,38.1753440388,42.0252129292,39.310152685,47.8524022893,25.8870023788,39.3298588444,40.0518706545,31.5355526626,41.3779215385,41.6082531597,45.4883566935,47.7403756742,14.8427372157,9.6047858053,3.7081999779,4.0861871994,3.2056687601,3.4031441628,4.1739322371,5.3083238131,4.8506664317,0.8850315165,1.6113011809,2.4106201901,9.8360036751,5.1689265113,4.9663392562,8.9189404607,Lab,Lab,Lab,Lab,5488,161,17928,22822,38.165620196,42.018177581,39.310152685,47.8524022893,24.7208931419,32.7958543453,28.4977433914,26.5539974885,31.6128546133,32.9682330646,48.08925898,46.4559787917,16.1875698552,10.1403655285,5.7874088887,5.3988767964,8.627510078,8.3940941552,7.905233365,6.9101437142,6.5101910108,1.3972312337,3.3472117497,4.4788614483,15.7254266662,15.7014529063,6.3731436252,10.2021417608,Lab,Con,Lab,Lab,1738,4196,14383,24312,38.165620196,42.0133407791,39.310152685,47.8524022893,26.8598882038,36.6258769432,31.2007097792,28.2960443107,29.1350848944,32.1178783614,46.9549596916,49.5023769026,17.4697927712,12.2884861247,7.6586049772,7.7962405687,7.9003521449,8.6582365517,7.9587276551,9.1054995857,7.2431894645,1.9091309533,3.3429723098,5.2998386323,11.3916925212,10.3095220189,2.8840255871,0
E09000010,Enfield,CON - Norris,CON - Johnson,CON - Johnson,LAB - Khan,227,11585,707,10191,36.8585777713,45.1307702173,37.8512396694,43.4399521213,34.3634672943,47.3526562517,43.9485560144,35.2605370001,34.0336500741,34.4527709421,43.0447066645,46.6902940715,12.0463197048,8.0951373501,3.043939607,3.3624189677,2.6646906692,2.5298696093,3.3686605899,4.6768802853,7.1658966088,1.0901154698,2.1298628246,3.7415042283,9.7259756487,6.4794503769,4.4642742997,6.2683654472,Con,Con,Lab,Lab,5123,9648,9746,14147,36.8409012925,45.0888408757,37.8512396694,43.4399521213,33.1614301192,40.1857267228,33.079611157,29.769438421,25.7609245215,29.4171484698,45.4641336807,45.4208523255,12.1040086674,7.2114204076,3.7511913082,3.9961056777,6.4947634525,5.9390137732,6.0003812186,5.5748550693,9.7248104009,2.074915731,4.6661160175,6.6856219852,18.9064644276,17.2466906266,7.038566618,8.5531265212,Con,Con,Lab,Lab,5899,11403,10180,15915,36.8409012925,45.0878543029,37.8512396694,43.4399521213,35.8974739529,43.5249667445,34.7917966214,32.0510553652,27.1423906913,30.7783453873,47.7511998269,49.6386341032,11.7872302532,7.8125174661,5.0819192138,4.2258813129,6.1518596575,5.3924144021,5.5733071939,5.937672671,12.6035204369,3.9761231402,3.9132814787,7.4251298486,6.4175250082,12.491756,2.8884956653,0.7216266991
E09000011,Greenwich,LAB - Livingstone,CON - Johnson,LAB - Livingstone,LAB - Khan,9511,327,3974,13311,34.9223603466,43.3686143212,37.139771135,43.2688045743,21.7522882977,39.3070892692,38.2948717949,29.4528247628,39.4107053341,38.8476776532,44.6634615385,46.8523698727,15.4675925066,9.2992216696,3.9038461538,4.4521711851,3.0448747702,3.0065469668,4.3669871795,6.2377454184,9.5802157405,1.2742701396,2.5769230769,5.6390682597,10.7443233508,8.2651943016,6.1939102564,7.3658205014,Lab,Lab,Lab,Lab,5101,3408,13511,16942,34.9217283592,43.3098126748,37.139771135,43.2688045743,20.3042498985,27.9814326583,24.8748311214,22.5684705761,29.7215965735,32.7607000617,46.3498370818,44.4661298453,14.6217184211,9.3341560554,5.4359055869,5.3393478008,8.861647528,8.1393392046,8.2762457284,8.0561982189,11.8173762139,2.7794917821,5.6743224986,9.3525830759,23.1048997526,21.78437202,9.388857983,10.217270483,Lab,Lab,Lab,Lab,5356,4949,14910,20543,34.9217283592,43.3146128092,37.139771135,43.2688045743,22.9049218913,28.8623595506,24.6081804281,23.2009605205,33.0713892527,35.8132022472,48.3562691131,49.7224302202,15.8893760796,10.3609550562,6.0445336391,6.0716775543,8.2341552303,7.4676966292,7.0336391437,9.3702393555,15.2591917696,3.3679775281,4.4597349643,10.9220480777,4.6409657764,17.4957865169,9.4976427115,0.7126442717
E09000012,Hackney,LAB - Livingstone,LAB - Livingstone,LAB - Livingstone,LAB - Khan,15163,21320,24440,42167,33.4300165969,43.5317326197,39.4613569109,46.1751092448,16.2035568783,22.6833666044,22.1966798321,12.0936921064,53.1946036935,57.0062463777,59.9034189089,66.7219422457,10.4144812276,8.4664176702,3.5454208837,2.8967858114,5.5036471421,6.1240260158,9.0934337201,10.1931622381,3.1958234734,0.5473629983,0.919526043,1.3823213152,11.4878875851,5.1725803336,4.3415206122,6.7120962831,Lab,Lab,Lab,Lab,7446,13841,26426,34299,33.3928712558,43.3965387613,39.4613569109,46.1751092448,14.5535692629,17.0272843151,14.6941479119,9.7076249356,34.8097120819,39.8438130274,56.9866136759,59.1718186502,14.1072598055,10.0295270826,4.5612089283,3.85625966,16.7487326267,17.51133485,16.279248887,14.9948480165,4.1526184297,0.9551930555,1.7483864011,2.2746007213,17.9639556601,15.5880407248,5.7303941957,9.9948480165,Lab,Lab,Lab,Lab,7182,15333,25850,37574,33.3928712558,43.4055057009,39.4613569109,46.1751092448,15.0805723862,17.8111483695,14.6062894639,9.7760540151,34.5210777362,42.6495601886,58.3524204531,64.2691475106,14.6448369215,12.9545933162,4.7898353349,4.6683331615,16.0036096429,16.8553887026,18.3468490776,15.8540356664,5.1772592497,1.8289028203,2.2440262474,2.7729100093,14.5726440634,9.7293094231,1.6605794231,0.8040408205
E09000013,Hammersmith and Fulham,CON - Norris,CON - Johnson,CON - Johnson,CON - Goldsmith,561,10266,12846,768,37.2263347184,55.2200646953,43.7688505693,46.6978148816,36.5617082881,50.2291800074,54.5896377808,41.0893388615,35.2081071299,32.9294597418,31.0298028427,39.7680940011,14.4166968271,8.8638738162,3.7615772581,4.3164106181,3.739896248,3.8690977722,4.6070609812,5.9163555663,3.8581252262,0.5847460483,1.267308574,2.2829322002,6.2154662806,3.523642614,4.744612563,6.6268687529,Con,Con,Con,Con,4819,10942,5136,772,37.2210971053,55.0688647173,43.7688505693,46.6978148816,35.6959103695,43.2298940627,43.0578512397,36.9176426208,24.1098261727,24.5937936438,33.6253443526,35.5938887841,15.7766931936,9.2005313894,6.2185491276,5.673965603,10.2517250499,9.8051572027,9.0376492195,7.9510965552,5.4336066165,1.0525598665,3.0449954086,3.9798350452,11.6966797298,13.1706237013,5.015610652,9.8835713918,Con,Con,Con,Lab,6387,13042,5607,75,37.2210971053,55.0331265406,43.7688505693,46.6978148816,38.5619926385,47.8436542314,45.1636095493,39.1025861181,22.4600413452,25.5149035251,34.8271730113,39.2313768589,16.4750668078,10.4812614494,7.0679325283,7.0079335096,10.1169767559,11.2414182746,9.4017881832,9.5751622763,6.8169212928,2.0339331267,3.5394967278,5.0829412371,5.5690011597,4.9187625195,0,0
E09000014,Haringey,LAB - Livingstone,LAB - Livingstone,LAB - Livingstone,LAB - Khan,17222,18029,18319,32686,35.2070203747,47.9787393322,38.9684481499,47.3583864934,17.5513449567,25.6338639653,26.4996423081,17.677651972,50.9512635029,51.7250361795,54.3828673191,60.0702955786,14.9040978997,12.0868306802,5.4460494071,5.2436351374,4.5303803115,5.002894356,7.5800240491,8.783056431,2.8450633206,0.5557163531,0.8934686982,1.2956694292,9.2178500087,4.995658466,5.1979482184,6.9296914517,Lab,Lab,Lab,Lab,5719,11890,24395,30479,35.2665374925,47.9311001919,38.9684481499,47.3583864934,15.9768563163,18.3574809304,16.0660297497,13.7353069221,32.9218900675,35.8219108686,52.9432216713,52.7619145177,21.8919961427,18.6122248115,10.4138952715,8.2498911624,13.4503375121,13.5940598359,13.393397025,12.4356577633,3.843780135,0.9219991605,1.9621477809,2.5173499962,13.6489874638,13.6143235537,5.2213085016,10.2998796384,Lab,Lab,Lab,Lab,3889,8570,26561,35237,35.2665374925,47.9345029877,38.9684481499,47.3583864934,16.7703643062,17.8964485873,15.0881390841,13.9697322468,32.0650839132,36.4883700671,55.3125757209,59.0477043329,24.1056078592,24.0453581903,14.5520353768,10.5080018933,12.6176831764,11.1057873799,11.9638962927,12.8388491602,4.4207941056,1.6334175451,1.8536467167,2.9717663012,10.0204666394,10.4640357755,1.2297068088,0.6639460656
E09000015,Harrow,LAB - Livingstone,CON - Johnson,CON - Johnson,CON - Goldsmith,789,7807,7468,10627,40.1714192151,45.9215806982,41.2295652863,49.0459498196,34.537784004,47.1179228557,48.9206415914,48.0520413171,35.8082540296,36.8648464074,38.4590600266,35.3325593364,13.9445759464,8.1780334371,3.3144217973,3.5033333732,2.4024604286,2.2063748473,2.8199201513,3.7893930508,5.2541745165,0.9245761265,1.9009595853,2.5637649762,8.0527510748,4.708246326,4.5849968481,6.7589079462,Con,Con,Lab,Con,5839,7475,2122,5810,40.1701597058,45.8541003208,41.2295652863,49.0459498196,36.1687468957,40.8434824788,37.851923265,41.9007841597,26.8133241472,31.0439308329,40.8168112783,34.9873273123,14.508195408,8.5436358631,4.9349596904,4.493151989,5.7504045632,4.9935106648,5.2521272582,4.56692726,7.2581032798,1.5574404489,4.4850567967,5.035757208,12.8867383398,14.5754401605,6.6591217113,9.0160520711,Con,Con,Lab,Con,7145,6830,4892,2627,40.1701597058,45.8487729226,41.2295652863,49.0459498196,39.1235072849,43.7755905512,36.0587559862,42.3482551572,27.3871121405,34.812335958,42.9089534265,39.2247785506,15.4848141395,9.3858267717,9.0780519226,5.4360620653,5.0395045911,4.7073490814,5.6417509172,4.5835562689,7.8713513691,2.3044619423,6.3124877475,6.2386302836,5.0937104749,7.3188976378,0,2.1687176743
E09000016,Havering,CON - Norris,CON - Johnson,CON - Johnson,CON - Goldsmith,8577,35441,26303,24331,38.4896017021,47.2385076616,36.9248468338,43.2511244539,38.1273535403,60.2227336139,61.6454298589,52.472036786,24.8904253349,17.9641575351,22.4001074274,21.6510646922,10.965183036,6.6390833105,2.68419325,3.4809926149,2.0155565158,1.4439529255,2.2201665125,3.6330010261,13.0471016729,2.080675355,4.8864551938,12.0352659514,10.9543799,11.6493972599,6.1636477575,6.7276389294,Con,Con,Con,Con,10620,23299,13907,14628,38.4901798671,130.0538529869,36.9248468338,43.2511244539,34.8000924428,44.6574361423,44.4618156371,40.2108093168,17.7443956552,14.7159226546,23.7548577299,20.2241262343,9.4106771435,5.2613989019,2.9243161954,4.0051257569,4.8470842,4.0857006445,4.3164932029,4.2626699163,18.4377166628,5.478634519,11.820848409,21.8334631523,25.9764270857,31.2795416567,12.7216688257,9.4638056233,Con,Con,Con,Con,10192,32963,13010,13423,38.4901798671,130.0483011326,36.9248468338,43.2511244539,34.76644855,53.7644857122,42.2813483951,42.7074049433,18.8496556463,14.2205907052,22.8672048707,22.1859583495,7.5461090375,3.5245567312,1.7906973274,3.8323939596,3.5216216638,5.1188848101,2.6785847522,5.4165672897,17.9251323536,11.0931164375,9.2862578903,25.8576754579,17.3910327487,23.3714820413,21.0959067644,0
E09000017,Hillingdon,CON - Norris,CON - Johnson,CON - Johnson,CON - Goldsmith,2458,22577,17141,12680,36.2214789877,43.092671102,36.3741990349,43.4620781625,34.6515300777,54.5055796459,55.4141274238,47.5805509475,30.8079623462,26.2924409232,31.6731301939,32.7671207271,12.8473362418,8.4713144971,2.9847645429,3.2325521624,2.3220903504,2.060657561,2.487534626,3.9790649314,9.1179184063,1.1471701886,2.7409972299,5.7314423234,10.2531625776,7.5228371843,4.6994459834,6.7092689082,Con,Con,Con,Con,7869,18998,6875,6659,36.2589468232,43.0773220703,36.3741990349,43.4620781625,33.8134088998,45.042157254,42.5924907165,40.0527954985,21.5613614424,21.3467870684,33.137120066,32.3430318047,13.5163329493,8.0934444223,4.6142208775,4.0094476155,5.5647245664,5.0314308521,4.8672809792,4.809484665,12.2909725033,2.4870285372,6.2659881722,10.0600896134,21.6968206022,20.4861804031,8.5228991886,8.7251508029,Con,Con,Con,Con,12754,24442,11273,8379,36.2589468232,43.0704414699,36.3741990349,43.4620781625,39.1471026202,50.7356982263,46.8729745011,43.6809432258,18.9430662485,20.2060954284,31.3267965744,33.9765120104,15.9918258721,8.2013489883,6.6374305297,4.8829075074,5.3226879574,5.6794903822,4.9797967261,6.1603854439,14.5185818839,3.3574818886,5.0997752127,11.2992518126,6.0767354181,15.1773669748,5.0832264559,0
E09000018,Hounslow,LAB - Livingstone,CON - Johnson,LAB - Livingstone,LAB - Khan,6130,3333,156,5498,32.7337464733,38.2145507453,34.0653232925,42.5021857157,26.8951840258,42.5243626725,42.872543735,36.108980775,38.813602162,37.3275122788,43.1273582594,43.2556446686,14.1698909261,9.7700163717,3.5085999902,3.3952502892,3.2158341921,3.0919154908,3.6049721501,4.6327228295,6.5599906675,1.1351056365,2.1953251335,3.9151967347,10.3454980266,6.1510875497,4.6912007318,8.6922047029,Lab,Con,Lab,Lab,1862,2575,9651,10690,32.8064361132,38.1625462343,34.0653232925,42.5021857157,25.4834426892,33.6827633614,30.1619794967,28.9321761491,29.0662100017,29.6598915777,45.8416597618,42.6769527483,15.9319620558,10.6906841225,5.4247697032,4.5760205722,7.4022050759,7.2255464075,7.0380659941,6.2153648345,8.7837447807,2.0575231608,4.7781514516,6.8492446159,18.7662350157,18.7411145308,6.7553735926,10.75024108,Lab,Con,Lab,Lab,505,5068,8551,10946,32.8064361132,38.1362518187,34.0653232925,42.5021857157,27.9805451414,36.8302206332,32.7967511498,31.6658952998,29.0039517682,28.8830346082,46.7429950745,45.738198087,18.2044786706,13.5343651503,7.0505920344,5.7788234084,6.7200324248,7.3136692227,8.0275304172,7.7213822894,11.2007295572,2.5356353201,5.382131324,8.4477527512,6.8902624379,13.4387103856,0,0.0694230176
